"Id","ChannelUrl","Status","Name","Area","Company","Group","ChannelName","Thumbnail","CreateTime","IsGreen"
"5123","https://www.youtube.com/channel/UCvfR_2pdsb8L0jaqOt42qHA","NotActivity","黛菲","TW","","","黛菲Delvi","https://yt3.googleusercontent.com/cz-5Yu_zYcMp8fz14gRS-6ZP4OYsWy1XipFI-uw7zGBGlByso22HZ9wgAWj3EcN3najfGF6HnDw=s176-c-k-c0x00ffffff-no-rj","2023-01-23 03:01:01","False"
"5124","https://www.youtube.com/channel/UCsmHKzkVJDBW6D5NnvdyNvg","NotActivity","緋音","","","","Akane ch. 緋音","https://yt3.googleusercontent.com/y2gdztBCPWFd8W3gHerW_KLkfPxf0FS0G9GuJDSLevzX-1jNssYvWZpnt7zEBmTFQycETfil5XA=s176-c-k-c0x00ffffff-no-rj","2023-01-23 03:01:01","False"
"5125","https://www.youtube.com/channel/UCWhGk5trPRO9WiD0z46sWyA","Activity","諾亞Noel","TW","",""," 天真爛漫Noel諾亞Vtuber聖誕好開心","https://yt3.googleusercontent.com/7TrMgE1Sc9iVQhWgG4Z76UQXhYr9L9Nh4ZnBHBDDQ5zkfzE7sf06on3iyCA9WPZuefPKNeQVhg=s176-c-k-c0x00ffffff-no-rj","2023-02-20 03:01:01","False"
"5126","https://www.youtube.com/channel/UCk_-jQu0N5cpwfmoK1juaYQ","NotActivity","夏紫桃月","TW","","","夏紫桃月AuntTao”","https://yt3.googleusercontent.com/gL5qklD3NRxum1HLq4flqzKRyaiBz4nz8A9ahVSjyGPBI_smed0Tnqfgjr6c5t_B1Si5avSs2w=s176-c-k-c0x00ffffff-no-rj","2023-01-16 03:01:01","False"
"5127","https://www.youtube.com/channel/UCb1tDB00x9DP_Qn7DC2hPdw","NotActivity","眠夢布鈴","TW","","","眠夢プリン","https://yt3.googleusercontent.com/thsKklUO0SkNFKAnwp2Yks3m69dBU-clQcC6kcnfwK4bzngMWtTKjYtXioSF5BX5TVD4ZR4orQ=s176-c-k-c0x00ffffff-no-rj","2023-01-16 03:01:01","False"
"5128","https://www.youtube.com/channel/UCMALj_1swtSnvsBvLeX5pfA","Activity","九段","TW","","","九段","https://yt3.googleusercontent.com/pOSyXziS7ROrYKIhBW0cPMxPCmW0ymL8TjtloLNap1CQhhlihuu2ZWl3r_1LD7x8FcYZGggh=s176-c-k-c0x00ffffff-no-rj","2023-01-16 03:01:01","False"
"5129","https://www.youtube.com/channel/UCN7vsN95b1BPmODucjcXhCw","NotActivity","青海茶狐","MY","","","ChaKi Ch. 青海茶狐","https://yt3.googleusercontent.com/_JASHdLfWigm1gukD72ce5pBmHl1gmrE7YHlbKVmwP-g9GcpU1FA8yddEUPJnFmeNmr3IAp73w=s176-c-k-c0x00ffffff-no-rj","2023-01-16 03:01:01","False"
"5130","https://www.youtube.com/channel/UC01Q8romGNCbEC6HGllDVNw","Prepare","吱吱檸檬","TW","","","吱吱檸檬","https://yt3.googleusercontent.com/JRswQkIM6Q-dK0eBEc9Rte9Wp6PHhdz_wQmQ3CF0Xz4WYTKx56lRHe_1PjsEgFnSiA9_Q1Za=s176-c-k-c0x00ffffff-no-rj","2023-01-23 03:01:01","False"
"5131","https://www.youtube.com/channel/UCF8icKLU4FGF8Ln-KlKakSg","Activity","神無月鹿比","TW","","","神無月鹿比 Kannazuki Lubee Ch.","https://yt3.googleusercontent.com/Es0qpj2tbRgyI1onaE8DdcbWdntEW0ocgcuL1INF_7rmZJvORc7fWZHoLEmDIri0rTn2SpvKig=s176-c-k-c0x00ffffff-no-rj","2023-03-06 03:01:01","False"
"5132","https://www.youtube.com/channel/UCChAHq4kdRZ0FJ1Jfjvr9cw","Activity","帕蘿妮","TW","","","帕蘿妮 Paroniie Ch.","https://yt3.googleusercontent.com/67hW6QrdObpCY-bPdzNPG9aE8IiXzsYJ_vZVtM79aerirxr5fgEk6U8tHdETzOKU_lwVKjpJauw=s176-c-k-c0x00ffffff-no-rj","2023-02-27 03:01:01","False"
