"Id","ChannelUrl","Name","SubscriberCount","ViewCount","MedianViewCountDay7","HighestViewCountDay7","HighestViewVideoUrlDay7","HighestViewVideoTitleDay7","HighestViewVideoThumbnailDay7","MedianViewCountDay30","HighestViewCountDay30","HighestViewVideoUrlDay30","HighestViewVideoTitleDay30","HighestViewVideoThumbnailDay30"
"1571","https://www.youtube.com/channel/UC8aUF9ipzQb2jTHlFoFZ1Vg","HaNaTan Music Channel","176000","25875151","5985","5985","http://youtu.be/0YqUUBOcsQY","🌻今年の夏こそ推しとキャッキャウフフしたい🍖","https://i.ytimg.com/vi/0YqUUBOcsQY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCp0JmNX2RejBiJCmhzrEJh_BEBig","16481","49279","http://youtu.be/1Xsy18oGnBQ","酔いどれ知らず / 花たん cover","https://i.ytimg.com/vi/1Xsy18oGnBQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDBP3hDpaHZugr-sfzG7Pnn9J0sMQ"
"1572","https://www.youtube.com/channel/UCBLqkkSpOi6a95Lf4BsTh7Q","茸茸鼠","177000","5253192","9936","9936","http://youtu.be/DW7DtRRsx24","【#1 黄昏ニ眠ル街】欸！美！！/茸茸鼠","https://i.ytimg.com/vi/DW7DtRRsx24/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByNLOJQQTlIZmxX4AytL-ZkjKcLw","22168","30514","http://youtu.be/flFYwzXnwOU","【合作歌回】Mizuki×茸茸鼠","https://i.ytimg.com/vi/flFYwzXnwOU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4B9eteu57i8PId1ih7vjmflZVjw"
"1574","https://www.youtube.com/channel/UCDG8K9g6qo8gX4jCjsqUVzA","アンジョー コーサカ","176000","73610087","74099","109197","http://youtu.be/LOZmYIzOMOg","おてんばお嬢さまと準レギュの貴重な〇〇シーン","https://i.ytimg.com/vi/LOZmYIzOMOg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9hGVVO4oUK6S9ZWm-2Dzo8CzdsQ","99719","135635","http://youtu.be/eUNZmPt689w","第1回ドンチッチ王選手権!!","https://i.ytimg.com/vi/eUNZmPt689w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAekbQAg19OZbrxDYIZAgYUOgLBfg"
"1575","https://www.youtube.com/channel/UCroM00J2ahCN6k-0-oAiDxg","INE","179000","61327429","136510","216461","http://youtu.be/0LEkcUvIer4","깻잎 떼주기","https://i.ytimg.com/vi/0LEkcUvIer4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4DbcEXwxJUsq2J8SFZja5YRMvAw","206040","436477","http://youtu.be/vtCzn_mkE2g","메보즈 법정 공방 만화","https://i.ytimg.com/vi/vtCzn_mkE2g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOfEEV2qx-3TW2ZMWazltxzO3KBA"
"1576","https://www.youtube.com/channel/UCzuEc7Nsm9GtMX4yuzjSqgA","超人女子戦士 ガリベンガーV(テレビ朝日)","175000","43562193","7343","11490","http://youtu.be/Tw4Z0V5BfqQ","番組ファン大集合の全校集会（ゲスト：夏色まつり）【2022/7/1】","https://i.ytimg.com/vi/Tw4Z0V5BfqQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZLsvePM4Aa9K4YPKKnOpYA0rJJQ","7870","276199","http://youtu.be/gmUkvicpPeg","【特別先行公開】呼べとは言ってないよ💢【ガリベンガーV】","https://i.ytimg.com/vi/gmUkvicpPeg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlerkfFTocRDzq4WeCbPFf8rKsNg"
"1578","https://www.youtube.com/channel/UCTXez3yD0FbdgCuYwBlbrnQ","SeanVR","173000","67556943","25889","25938","http://youtu.be/wIudJ6mdKzQ","If you like D* ck","https://i.ytimg.com/vi/wIudJ6mdKzQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3SJyhNk1IToUb37TV8QLSFcea4g","14840","34739","http://youtu.be/6cps2ONgZkk","drilling all night","https://i.ytimg.com/vi/6cps2ONgZkk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCnim6Yxl6pcEp5DiJn8__fQN7CPw"
"1579","https://www.youtube.com/channel/UC6tSB9TnO0f01OBeo9UEJZA","ヒナミソラ - Hina Misora【WACTOR】","176000","7978297","17189","29233","http://youtu.be/C4g1tHD6y_g","【Fall guys】Pepecito y sus pies de mantequilla【WACTOR/#ヒナミソラ】","https://i.ytimg.com/vi/C4g1tHD6y_g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0NWiSsrQDqhkiVu-9tviUs2SslQ","18701","50452","http://youtu.be/_Bqw2DPWzow","【L4D 2】Uff, somos 4 zombis sexys mmm【WACTOR/#ヒナミソラ】","https://i.ytimg.com/vi/_Bqw2DPWzow/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGx6XB0Wy5kGnp-2U2Btm2mjUXYw"
"1580","https://www.youtube.com/channel/UCUummegUoc-w7EDdk8Ps7BQ","Zen Gunawan Ch","175000","7570969","4618","23963","http://youtu.be/iPuFHex0rkE","Dere Dere & Cutest Imouto ♥ @Liliana Vampaia Ch. 吸血鬼 リリアナ ! [ Empat Mata Hitam Putih ]​","https://i.ytimg.com/vi/iPuFHex0rkE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAO7LS_YZjuW6up0Yu8bV5rd69r-g","4614","23963","http://youtu.be/iPuFHex0rkE","Dere Dere & Cutest Imouto ♥ @Liliana Vampaia Ch. 吸血鬼 リリアナ ! [ Empat Mata Hitam Putih ]​","https://i.ytimg.com/vi/iPuFHex0rkE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAO7LS_YZjuW6up0Yu8bV5rd69r-g"
"1581","https://www.youtube.com/channel/UC3EhsuKdEkI99TWZwZgWutg","杏戸ゆげ","172000","27518390","7775","17526","http://youtu.be/JYpxSB78FcM","【飲酒雑談】龍ヶ崎リンさんとトークテーマガチャまわします。【杏戸ゆげ / ブイアパ】","https://i.ytimg.com/vi/JYpxSB78FcM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB55KSQzlgIwJtl3mz3js0PGAPM7w","12125","17996","http://youtu.be/ymSyNKIbU2I","【APEX LEGENDS】めぐみちゃんだよっ！ゆげちゃんだよっ！【杏戸ゆげ / ブイアパ】","https://i.ytimg.com/vi/ymSyNKIbU2I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDb4fQe2kpOuBpwfMWgSdnAhV41yA"
"1582","https://www.youtube.com/channel/UC0WwEfE-jOM2rzjpdfhTzZA","愛園愛美","173000","11807315","18053","21398","http://youtu.be/aO-HslHG6w8","【モンハンライズ:サンブレイク】狩猟解禁じゃ～～！はじめましてモンスターにも会いたい！【にじさんじ/愛園愛美】","https://i.ytimg.com/vi/aO-HslHG6w8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnLdwXaQfD9wZoYnMMMRuHNgv7aA","14021","21398","http://youtu.be/aO-HslHG6w8","【モンハンライズ:サンブレイク】狩猟解禁じゃ～～！はじめましてモンスターにも会いたい！【にじさんじ/愛園愛美】","https://i.ytimg.com/vi/aO-HslHG6w8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnLdwXaQfD9wZoYnMMMRuHNgv7aA"
